-60,-59,-58,-57,-56,-55,-54,-53,-52,-51,-10,-9,-8,-7,-6,-5,-4,-3,-2,-1,0,1,2,3,4,5,6,7,8,9,10,11,12,13,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44
4.8269e+10,4.7227e+10,4.6148e+10,4.5043e+10,4.3907e+10,4.2754e+10,4.1575e+10,4.0387e+10,3.918e+10,3.7967e+10,1.5253e+09,1.2314e+09,9.682e+08,7.4374e+08,5.4255e+08,3.7754e+08,2.4382e+08,1.3511e+08,6.4694e+07,1.8204e+07,0,1.8204e+07,5.6808e+07,1.2568e+08,2.2694e+08,3.4721e+08,4.9852e+08,6.7757e+08,8.7501e+08,1.1032e+09,1.3549e+09,1.6242e+09,1.9228e+09,2.242e+09,7.5058e+09,8.0387e+09,8.5828e+09,9.1447e+09,9.7102e+09,1.0281e+10,1.0867e+10,1.1458e+10,1.205e+10,1.2649e+10,1.3258e+10,1.3863e+10,1.447e+10,1.5085e+10,1.5697e+10,1.6304e+10,1.6912e+10,1.7524e+10,1.8126e+10,1.8721e+10
5.2134e+10,5.0898e+10,4.9639e+10,4.8353e+10,4.7052e+10,4.573e+10,4.4402e+10,4.3057e+10,4.1711e+10,4.0357e+10,1.5645e+09,1.2595e+09,9.9556e+08,7.5659e+08,5.5314e+08,3.8517e+08,2.4201e+08,1.3769e+08,6.0581e+07,1.1175e+07,0,1.1175e+07,5.2029e+07,1.2807e+08,2.2402e+08,3.5043e+08,5.0805e+08,6.8422e+08,8.9054e+08,1.1242e+09,1.3752e+09,1.6551e+09,1.9593e+09,2.2791e+09,7.6243e+09,8.1634e+09,8.721e+09,9.2845e+09,9.8533e+09,1.0436e+10,1.1028e+10,1.1619e+10,1.2218e+10,1.2829e+10,1.3436e+10,1.4045e+10,1.4661e+10,1.5278e+10,1.589e+10,1.6502e+10,1.7119e+10,1.7727e+10,1.8329e+10,1.8931e+10
5.5266e+10,5.3906e+10,5.2524e+10,5.1119e+10,4.9703e+10,4.8269e+10,4.6831e+10,4.538e+10,4.3932e+10,4.2477e+10,1.6292e+09,1.3115e+09,1.0365e+09,7.8872e+08,5.7584e+08,4.0188e+08,2.5315e+08,1.4318e+08,6.4241e+07,1.2417e+07,0,1.2417e+07,5.3931e+07,1.3277e+08,2.3298e+08,3.6306e+08,5.2717e+08,7.1053e+08,9.2348e+08,1.167e+09,1.4281e+09,1.7174e+09,2.0345e+09,2.3671e+09,7.9309e+09,8.4929e+09,9.0737e+09,9.663e+09,1.0257e+10,1.0865e+10,1.1484e+10,1.2103e+10,1.273e+10,1.3369e+10,1.4006e+10,1.4644e+10,1.529e+10,1.5939e+10,1.6583e+10,1.7227e+10,1.7876e+10,1.8518e+10,1.9154e+10,1.9789e+10
5.8314e+10,5.6833e+10,5.5329e+10,5.381e+10,5.228e+10,5.0737e+10,4.9193e+10,4.7639e+10,4.6091e+10,4.4539e+10,1.6914e+09,1.3617e+09,1.0756e+09,8.1961e+08,5.9787e+08,4.1781e+08,2.6398e+08,1.4831e+08,6.7792e+07,1.3909e+07,0,1.3909e+07,5.6343e+07,1.3763e+08,2.4224e+08,3.7616e+08,5.463e+08,7.3691e+08,9.5655e+08,1.2093e+09,1.4804e+09,1.7793e+09,2.1085e+09,2.4539e+09,8.2305e+09,8.815e+09,9.418e+09,1.0032e+10,1.0651e+10,1.1283e+10,1.1929e+10,1.2576e+10,1.3229e+10,1.3895e+10,1.4562e+10,1.5229e+10,1.5903e+10,1.6584e+10,1.7258e+10,1.7932e+10,1.8613e+10,1.9288e+10,1.9957e+10,2.0624e+10
6.128e+10,5.9679e+10,5.8058e+10,5.6427e+10,5.4786e+10,5.3138e+10,5.1489e+10,4.9835e+10,4.819e+10,4.6543e+10,1.7512e+09,1.4101e+09,1.113e+09,8.4932e+08,6.1927e+08,4.3298e+08,2.7448e+08,1.535e+08,7.1238e+07,1.5634e+07,0,1.5634e+07,5.923e+07,1.4262e+08,2.5177e+08,3.8968e+08,5.6541e+08,7.6331e+08,9.8969e+08,1.2512e+09,1.5323e+09,1.8406e+09,2.1814e+09,2.5394e+09,8.5232e+09,9.1296e+09,9.7542e+09,1.0393e+10,1.1036e+10,1.1692e+10,1.2363e+10,1.3036e+10,1.3715e+10,1.4408e+10,1.5103e+10,1.5799e+10,1.6501e+10,1.7211e+10,1.7916e+10,1.862e+10,1.9331e+10,2.0038e+10,2.0739e+10,2.1438e+10
4.2791e+10,4.1954e+10,4.1073e+10,4.0164e+10,3.9218e+10,3.825e+10,3.7253e+10,3.624e+10,3.5208e+10,3.4161e+10,1.4035e+09,1.1322e+09,8.9138e+08,6.8472e+08,4.9917e+08,3.4916e+08,2.2453e+08,1.2457e+08,6.0465e+07,1.625e+07,0,1.625e+07,5.0416e+07,1.1453e+08,2.0601e+08,3.1522e+08,4.5507e+08,6.1703e+08,7.9688e+08,1.0066e+09,1.2347e+09,1.48e+09,1.7535e+09,2.0428e+09,6.8082e+09,7.2865e+09,7.7755e+09,8.28e+09,8.7851e+09,9.2955e+09,9.819e+09,1.0344e+10,1.0869e+10,1.1402e+10,1.1941e+10,1.2474e+10,1.3007e+10,1.3548e+10,1.4083e+10,1.4612e+10,1.5142e+10,1.5672e+10,1.6191e+10,1.6702e+10
4.6199e+10,4.5224e+10,4.4211e+10,4.3172e+10,4.2099e+10,4.1009e+10,3.9893e+10,3.8765e+10,3.7619e+10,3.6465e+10,1.4687e+09,1.1855e+09,9.3208e+08,7.1609e+08,5.2224e+08,3.6363e+08,2.348e+08,1.3007e+08,6.2516e+07,1.7571e+07,0,1.7571e+07,5.4391e+07,1.2057e+08,2.1775e+08,3.3292e+08,4.7822e+08,6.498e+08,8.3885e+08,1.0577e+09,1.2986e+09,1.5562e+09,1.8423e+09,2.1474e+09,7.1622e+09,7.6675e+09,8.1831e+09,8.7155e+09,9.2503e+09,9.79e+09,1.0343e+10,1.0901e+10,1.1457e+10,1.2021e+10,1.2594e+10,1.3161e+10,1.3729e+10,1.4305e+10,1.4877e+10,1.5442e+10,1.6008e+10,1.6577e+10,1.7134e+10,1.7684e+10
5.0133e+10,4.8962e+10,4.7766e+10,4.6543e+10,4.5304e+10,4.4043e+10,4.2774e+10,4.1489e+10,4.0201e+10,3.8903e+10,1.5089e+09,1.2145e+09,9.6002e+08,7.2932e+08,5.3321e+08,3.7121e+08,2.3305e+08,1.327e+08,5.8246e+07,1.0586e+07,0,1.0586e+07,4.9942e+07,1.2323e+08,2.1537e+08,3.3706e+08,4.8863e+08,6.5777e+08,8.5617e+08,1.0806e+09,1.3214e+09,1.5901e+09,1.8818e+09,2.1883e+09,7.2924e+09,7.8049e+09,8.335e+09,8.8697e+09,9.4089e+09,9.9609e+09,1.0521e+10,1.108e+10,1.1645e+10,1.2221e+10,1.2793e+10,1.3365e+10,1.3945e+10,1.4524e+10,1.5096e+10,1.5668e+10,1.6244e+10,1.681e+10,1.7369e+10,1.7927e+10
5.3337e+10,5.2039e+10,5.0717e+10,4.9373e+10,4.8016e+10,4.664e+10,4.526e+10,4.3866e+10,4.2474e+10,4.1073e+10,1.5753e+09,1.2679e+09,1.002e+09,7.6228e+08,5.5649e+08,3.8837e+08,2.4447e+08,1.3837e+08,6.1987e+07,1.1823e+07,0,1.1823e+07,5.1841e+07,1.2804e+08,2.2451e+08,3.4996e+08,5.0822e+08,6.8472e+08,8.8991e+08,1.1244e+09,1.3755e+09,1.654e+09,1.959e+09,2.2786e+09,7.6074e+09,8.1435e+09,8.6974e+09,9.2586e+09,9.8239e+09,1.0402e+10,1.099e+10,1.1578e+10,1.2171e+10,1.2776e+10,1.3379e+10,1.3982e+10,1.4592e+10,1.5203e+10,1.5808e+10,1.6413e+10,1.7022e+10,1.7623e+10,1.8217e+10,1.8809e+10
5.6454e+10,5.5032e+10,5.3587e+10,5.2126e+10,5.0653e+10,4.9166e+10,4.7677e+10,4.6177e+10,4.4683e+10,4.3183e+10,1.6391e+09,1.3194e+09,1.0422e+09,7.9398e+08,5.7908e+08,4.0471e+08,2.5555e+08,1.4363e+08,6.5615e+07,1.3318e+07,0,1.3318e+07,5.4266e+07,1.33e+08,2.3396e+08,3.6334e+08,5.2782e+08,7.1173e+08,9.2378e+08,1.1679e+09,1.4292e+09,1.7175e+09,2.0349e+09,2.3676e+09,7.9152e+09,8.4743e+09,9.0511e+09,9.6382e+09,1.0229e+10,1.0832e+10,1.1448e+10,1.2063e+10,1.2684e+10,1.3318e+10,1.3951e+10,1.4583e+10,1.5222e+10,1.5866e+10,1.6502e+10,1.7139e+10,1.778e+10,1.8416e+10,1.9043e+10,1.9669e+10
